,Costal,Blue,Green,Red,NIR,SWIR1,SWIR2,Longitude,Latitude,x,y,AOI,Target,Prediction
14281,10914.0,9947.0,9476.0,8238.0,20613.0,14925.0,9842.0,-75.33907971672771,1.6900939709537453,5720.0,5907.0,caqueta_20160311,coca,bosque
14347,13641.0,12731.0,11557.0,10776.0,19730.0,14753.0,10232.0,-75.28987803042014,1.8279799682706979,6085.0,4891.0,caqueta_20160311,coca,bosque
14433,11674.0,10542.0,9139.0,8049.0,11742.0,7519.0,6300.0,-74.7366428689519,0.18931301884860802,12468.0,6326.0,putumayo_20160311,coca,bosque
14454,10012.0,8999.0,8065.0,7100.0,17523.0,10308.0,6940.0,-71.97760485280344,1.5278460314665492,7718.0,7107.0,guaviare_20160125,coca,bosque
14534,12538.0,11673.0,11424.0,10542.0,26179.0,17097.0,10389.0,-72.5131332384161,1.8501335192630304,3639.0,4735.0,guaviare_20160820,coca,cana
14564,10208.0,9172.0,8332.0,7290.0,17409.0,11191.0,7587.0,-72.38015972243169,1.8423492080798063,4726.0,4791.0,guaviare_20160125,coca,bosque
14615,10212.0,9114.0,8320.0,7060.0,21002.0,12286.0,7754.0,-72.4968882634007,1.9946367851807603,3758.0,3669.0,guaviare_20160820,coca,bosque
14617,10364.0,9318.0,8417.0,7320.0,18933.0,10913.0,7126.0,-72.01413652937055,2.009140634617963,7441.0,3556.0,guaviare_20160125,coca,bosque
14622,10515.0,9483.0,8565.0,7486.0,19370.0,11678.0,7580.0,-72.1774776615923,2.1933642267322226,6226.0,2199.0,guaviare_20160125,coca,bosque
14676,11781.0,10710.0,9981.0,8628.0,23489.0,12297.0,7878.0,-75.4544689238903,0.44959192301980994,7143.0,4408.0,putumayo_20160311,coca,bosque
14716,10076.0,9035.0,8122.0,7015.0,17321.0,10528.0,7029.0,-72.3300140922602,1.7689361329789386,5099.0,5332.0,guaviare_20160125,coca,bosque
14778,12163.0,11003.0,9849.0,8738.0,17865.0,11382.0,7844.0,-75.33112499618808,0.4498700175787446,8058.0,4406.0,putumayo_20160311,coca,bosque
14780,10371.0,9331.0,8405.0,7381.0,17908.0,11278.0,7593.0,-75.84131448800392,1.4703875979965548,1995.0,7525.0,caqueta_20160311,coca,bosque
14835,9957.0,8771.0,8051.0,6997.0,17501.0,10920.0,7082.0,-72.28941236262855,2.0593726592476735,5297.0,3189.0,guaviare_20160820,coca,bosque
14880,12512.0,11442.0,10282.0,9211.0,17774.0,11046.0,7935.0,-75.32036178643153,0.7978242865563925,8138.0,1842.0,putumayo_20160311,coca,bosque
15076,9899.0,8925.0,8028.0,7068.0,16444.0,9989.0,6884.0,-72.19034689576466,1.454536034423433,6139.0,7650.0,guaviare_20160125,coca,bosque
15135,12024.0,11112.0,9814.0,8839.0,20314.0,12830.0,8288.0,-75.52005440170517,1.6842184760954848,4378.0,5950.0,caqueta_20160311,coca,bosque
15148,12759.0,11674.0,10406.0,9313.0,18695.0,11387.0,8019.0,-75.29905967284594,0.7727199965889548,8296.0,2027.0,putumayo_20160311,coca,bosque
15174,13419.0,12382.0,11023.0,9987.0,17856.0,11441.0,8292.0,-75.31686089917832,0.8512932493255497,8164.0,1448.0,putumayo_20160311,coca,bosque
15187,10657.0,9640.0,8967.0,7776.0,18411.0,13632.0,8924.0,-75.29188953110636,1.7552409008501024,6070.0,5427.0,caqueta_20160311,coca,bosque
15333,9897.0,8850.0,8188.0,6982.0,19286.0,12288.0,7826.0,-72.06592286713806,2.261183890630812,6953.0,1697.0,guaviare_20160820,coca,bosque
15339,11656.0,10494.0,9409.0,8186.0,18794.0,11767.0,7643.0,-75.99349393802433,0.3072002448746976,3144.0,5457.0,putumayo_20160311,coca,bosque
15353,9531.0,8462.0,8275.0,6632.0,20292.0,10936.0,6930.0,-71.84627089584919,1.5605829304775969,8593.0,6864.0,guaviare_20160820,coca,cana
15383,17078.0,16227.0,14976.0,14522.0,17544.0,12177.0,9171.0,-71.51134982017385,2.22310540477481,11071.0,1969.0,guaviare_20160820,coca,cana
15584,10185.0,9122.0,8300.0,7292.0,19722.0,11804.0,7489.0,-72.20784251533603,1.3520844569427732,6010.0,8406.0,guaviare_20160125,coca,bosque
15619,10311.0,9275.0,8412.0,7275.0,19992.0,11295.0,7324.0,-72.19099326101816,2.019622224185772,6128.0,3481.0,guaviare_20160125,coca,bosque
15643,12815.0,11886.0,10999.0,10862.0,12478.0,9403.0,8023.0,-75.57609764665841,0.807973934127344,6241.0,1767.0,putumayo_20160311,coca,bosque
15648,9898.0,8813.0,7919.0,6739.0,18707.0,11359.0,7057.0,-72.30889013632166,2.1717831191638726,5151.0,2360.0,guaviare_20160820,coca,bosque
15685,10086.0,9066.0,8306.0,7249.0,16674.0,10697.0,7261.0,-72.23094004878787,1.4101263163792401,5838.0,7978.0,guaviare_20160125,coca,bosque
15724,10820.0,9914.0,9181.0,8437.0,18734.0,15368.0,9795.0,-72.53105120766848,2.2074159267064473,3602.0,2100.0,guaviare_20160125,coca,bosque
15762,9862.0,8809.0,8256.0,6902.0,22393.0,12578.0,7639.0,-72.26307337481593,2.1735980524122827,5491.0,2346.0,guaviare_20160820,coca,bosque
15769,9783.0,8687.0,7820.0,6903.0,17079.0,10719.0,7050.0,-72.29415040684195,1.5946937746029695,5267.0,6617.0,guaviare_20160820,coca,bosque
15827,11458.0,10360.0,9287.0,8117.0,17596.0,10887.0,7343.0,-74.84596575839372,0.2600188317296854,11657.0,5805.0,putumayo_20160311,coca,bosque
15839,10159.0,9049.0,8194.0,6977.0,19859.0,12374.0,7625.0,-72.70239597928253,1.7952017208948359,2235.0,5142.0,guaviare_20160820,coca,bosque
15871,10547.0,9547.0,8621.0,7385.0,21872.0,11576.0,7364.0,-75.32614436142653,1.7544209692213535,5816.0,5433.0,caqueta_20160311,coca,bosque
15922,10175.0,9154.0,8188.0,7138.0,18044.0,10404.0,7009.0,-72.37045592082936,1.8446394182659425,4798.0,4774.0,guaviare_20160125,coca,bosque
15927,11529.0,10374.0,9313.0,8124.0,17624.0,11248.0,7518.0,-75.96533409979243,0.40245740834953214,3353.0,4755.0,putumayo_20160311,coca,bosque
15967,10579.0,9700.0,9117.0,8694.0,16327.0,15482.0,10616.0,-72.0743667334686,1.3671056453247683,7001.0,8294.0,guaviare_20160125,coca,bosque
16037,10189.0,9144.0,8220.0,7109.0,18529.0,10122.0,6789.0,-72.43049997104343,1.876451377227079,4352.0,4540.0,guaviare_20160125,coca,bosque
16044,9661.0,8648.0,7991.0,7027.0,14213.0,10627.0,7554.0,-72.03531823090242,1.1236520345456213,7193.0,10090.0,guaviare_20160820,coca,bosque
16070,14550.0,14128.0,12306.0,12071.0,20309.0,14670.0,11534.0,-71.55224547131756,2.1217417047381937,10769.0,2718.0,guaviare_20160820,coca,cana
16133,10984.0,9844.0,8830.0,7685.0,17271.0,11236.0,7355.0,-74.40204081369383,1.377511057427019,12669.0,8210.0,caqueta_20160311,coca,bosque
16153,10351.0,9355.0,8904.0,7314.0,21445.0,12019.0,7479.0,-75.95359385942203,1.3906921723261862,1162.0,8112.0,caqueta_20160311,coca,bosque
16314,9350.0,8293.0,7480.0,6412.0,16924.0,9447.0,6483.0,-71.5767777558755,1.1563361367843688,10599.0,9845.0,guaviare_20160820,coca,bosque
16398,12464.0,11644.0,10920.0,10287.0,19591.0,16478.0,12509.0,-71.52589765193248,2.1624550393375674,10964.0,2417.0,guaviare_20160820,coca,cana
16436,9580.0,8531.0,7675.0,6692.0,16807.0,10600.0,7138.0,-72.10286552006029,1.4082073990900854,6689.0,7991.0,guaviare_20160820,coca,bosque
16471,10417.0,9364.0,8654.0,7521.0,19038.0,11056.0,7428.0,-71.9949453142567,1.2306724023540563,7592.0,9300.0,guaviare_20160125,coca,bosque
16484,12545.0,11459.0,10205.0,9110.0,18460.0,11283.0,7870.0,-75.39019151006949,0.7689127788958203,7620.0,2055.0,putumayo_20160311,coca,bosque
